id,term
879511000001105,Camcolit 250 tablets (Essential Pharma Ltd)
11922311000001102,Camcolit 250 tablets (Waymade Healthcare Plc)
250211000001105,Camcolit 400 modified-release tablets (Essential Pharma Ltd)
14305911000001102,Camcolit 400 modified-release tablets (Sigma Pharmaceuticals Plc)
11922511000001108,Camcolit 400 modified-release tablets (Waymade Healthcare Plc)
4888611000001102,Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)
8788711000001105,Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
704311000001105,Liskonum 450mg modified-release tablets (Teofarma)
16977003,Lithium carbonate
414615004,Lithium carbonate 150 mg/1 each oral capsule
765556009,Lithium carbonate 200 mg prolonged-release oral tablet
13176801000001103,Lithium carbonate 200mg modified-release tablets
8658611000001103,Lithium carbonate 200mg/5ml oral suspension
8628811000001100,Lithium carbonate 200mg/5ml oral suspension (Special Order)
321730000,Lithium carbonate 250mg tablets
30988111000001104,Lithium carbonate 250mg tablets (A A H Pharmaceuticals Ltd)
30802011000001105,Lithium carbonate 250mg tablets (Alliance Healthcare (Distribution) Ltd)
30760011000001108,Lithium carbonate 250mg tablets (Essential Pharma Ltd)
374674009,Lithium carbonate 300 mg oral tablet
377106000,Lithium carbonate 300 mg/1 each oral capsule
765564003,Lithium carbonate 300mg prolonged-release oral tablet
765613007,Lithium carbonate 400 mg prolonged-release oral tablet
13177001000001108,Lithium carbonate 400mg modified-release tablets
4818611000001104,Lithium carbonate 400mg modified-release tablets (Kent Pharmaceuticals Ltd)
765704004,Lithium carbonate 450 mg prolonged-release oral tablet
36040211000001104,Lithium carbonate 450mg modified-release tablets
414616003,Lithium carbonate 600 mg/1 each oral capsule
714605003,Lithium carbonate in oral dosage form
321742005,Lithium citrate 1.018g/5ml oral solution
321741003,Lithium citrate 509mg/5ml oral solution
36040311000001107,Lithium citrate 520mg/5ml oral solution sugar free
5479511000001101,Lithonate 400mg modified-release tablets (Teva UK Ltd)
565011000001106,Priadel 200mg modified-release tablets (Essential Pharma M)
13947411000001104,Priadel 400mg modified-release tablets (DE Pharmaceuticals)
5577011000001106,Priadel 400mg modified-release tablets (Dowelhurst Ltd)
766311000001100,Priadel 400mg modified-release tablets (Essential Pharma M)
17421311000001107,Priadel 400mg modified-release tablets (Mawdsley-Brooks & Company Ltd)
17624411000001101,Priadel 400mg modified-release tablets (Necessity Supplies Ltd)
14728211000001105,Priadel 400mg modified-release tablets (Sigma Pharmaceuticals Plc)
21717511000001107,Priadel 400mg modified-release tablets (Waymade Healthcare Plc)
3832311000001102,Priadel 520mg/5ml liquid (Essential Pharma M)
