id,term
319740004,Acenocoumarol 1mg tablets
29953511000001108,Acenocoumarol 1mg tablets (Lexon (UK) Ltd)
768520007,Acenocoumarol in oral dosage form
703907006,Apixaban 2.5mg tablets
703908001,Apixaban 5mg tablets
767882007,Apixaban in oral dosage form
18509011000001102,Coumadin 4mg tablets (Imported (Canada))
768600002,Coumarin product
13532811000001109,Dabigatran etexilate 110mg capsules
19469811000001101,Dabigatran etexilate 150mg capsules
13532911000001104,Dabigatran etexilate 75mg capsules
29903211000001100,Edoxaban 15mg tablets
29903311000001108,Edoxaban 30mg tablets
29903411000001101,Edoxaban 60mg tablets
19506911000001105,Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
37435111000001107,Eliquis 2.5mg tablets (CST Pharma Ltd)
38132011000001107,Eliquis 2.5mg tablets (DE Pharmaceuticals)
36765111000001107,Eliquis 2.5mg tablets (Originalis B.V.)
37980411000001103,Eliquis 2.5mg tablets (Pharmaram Ltd)
37633611000001101,Eliquis 2.5mg tablets (Pilsco Ltd)
30270611000001104,Eliquis 2.5mg tablets (Waymade Healthcare Plc)
21677511000001105,Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
37435411000001102,Eliquis 5mg tablets (CST Pharma Ltd)
38132211000001102,Eliquis 5mg tablets (DE Pharmaceuticals)
36765311000001109,Eliquis 5mg tablets (Originalis B.V.)
37980611000001100,Eliquis 5mg tablets (Pharmaram Ltd)
37633811000001102,Eliquis 5mg tablets (Pilsco Ltd)
29902111000001100,Lixiana 15mg tablets (Daiichi Sankyo UK Ltd)
29902411000001105,Lixiana 30mg tablets (Daiichi Sankyo UK Ltd)
29902711000001104,Lixiana 60mg tablets (Daiichi Sankyo UK Ltd)
933311000001105,Marevan 1mg tablets (Advanz Pharma)
284011000001104,Marevan 3mg tablets (Advanz Pharma)
204811000001109,Marevan 500microgram tablets (Advanz Pharma)
461911000001100,Marevan 5mg tablets (Advanz Pharma)
319745009,Phenindione 10mg tablets
3780911000001106,Phenindione 10mg tablets (A A H Pharmaceuticals Ltd)
3781211000001108,Phenindione 10mg tablets (Advanz Pharma)
3781411000001107,Phenindione 10mg tablets (Alliance Healthcare (Distribution) Ltd)
319746005,Phenindione 25mg tablets
3782011000001106,Phenindione 25mg tablets (A A H Pharmaceuticals Ltd)
3782311000001109,Phenindione 25mg tablets (Advanz Pharma)
3782511000001103,Phenindione 25mg tablets (Alliance Healthcare (Distribution) Ltd)
319747001,Phenindione 50mg tablets
3783211000001107,Phenindione 50mg tablets (A A H Pharmaceuticals Ltd)
3783611000001109,Phenindione 50mg tablets (Advanz Pharma)
3783811000001108,Phenindione 50mg tablets (Alliance Healthcare (Distribution) Ltd)
13505411000001109,Pradaxa 110mg capsules (Boehringer Ingelheim Ltd)
37529211000001107,Pradaxa 110mg capsules (CST Pharma Ltd)
18555311000001109,Pradaxa 110mg capsules (Waymade Healthcare Plc)
19465811000001104,Pradaxa 150mg capsules (Boehringer Ingelheim Ltd)
37529511000001105,Pradaxa 150mg capsules (CST Pharma Ltd)
36821111000001103,Pradaxa 150mg capsules (Originalis B.V.)
23677711000001107,Pradaxa 150mg capsules (Waymade Healthcare Plc)
13504711000001102,Pradaxa 75mg capsules (Boehringer Ingelheim Ltd)
36820511000001100,Pradaxa 75mg capsules (Originalis B.V.)
18554911000001106,Pradaxa 75mg capsules (Waymade Healthcare Plc)
704472001,Rivaroxaban 10 mg oral tablet
14254711000001104,Rivaroxaban 10mg tablets
704473006,Rivaroxaban 15 mg oral tablet
19842111000001101,Rivaroxaban 15mg tablets
34819111000001102,Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets
