id,term
318186003,Amiodarone 100mg tablets
754111000001102,Amiodarone 100mg tablets (A A H Pharmaceuticals Ltd)
18456511000001100,Amiodarone 100mg tablets (Accord Healthcare Ltd)
463511000001106,Amiodarone 100mg tablets (Actavis UK Ltd)
414011000001100,Amiodarone 100mg tablets (Alliance Healthcare (Distribution) Ltd)
9784111000001101,Amiodarone 100mg tablets (Almus Pharmaceuticals Ltd)
10377411000001106,Amiodarone 100mg tablets (Arrow Generics Ltd)
36598011000001104,Amiodarone 100mg tablets (Bristol Laboratories Ltd)
35381011000001105,Amiodarone 100mg tablets (Crescent Pharma Ltd)
22588711000001103,Amiodarone 100mg tablets (DE Pharmaceuticals)
13106511000001107,Amiodarone 100mg tablets (Dowelhurst Ltd)
10285211000001101,Amiodarone 100mg tablets (Focus Pharmaceuticals Ltd)
307111000001104,Amiodarone 100mg tablets (IVAX Pharmaceuticals UK Ltd)
563811000001104,Amiodarone 100mg tablets (Kent Pharmaceuticals Ltd)
29991111000001108,Amiodarone 100mg tablets (Mawdsley-Brooks & Company Ltd)
19730911000001104,Amiodarone 100mg tablets (Medreich Plc)
9752611000001106,Amiodarone 100mg tablets (Milpharm Ltd)
865311000001108,Amiodarone 100mg tablets (Mylan)
17773911000001100,Amiodarone 100mg tablets (Phoenix Healthcare Distribution Ltd)
696411000001103,Amiodarone 100mg tablets (Sandoz Ltd)
29762511000001101,Amiodarone 100mg tablets (Sigma Pharmaceuticals Plc)
361411000001102,Amiodarone 100mg tablets (Teva UK Ltd)
13739711000001106,Amiodarone 100mg tablets (Tillomed Laboratories Ltd)
21759611000001107,Amiodarone 100mg tablets (Waymade Healthcare Plc)
11011000001105,Amiodarone 100mg tablets (Zentiva)
8274311000001102,Amiodarone 100mg/5ml oral solution
8229811000001109,Amiodarone 100mg/5ml oral solution (Special Order)
8274411000001109,Amiodarone 100mg/5ml oral suspension
8230911000001108,Amiodarone 100mg/5ml oral suspension (Drug Tariff Special Order)
11708811000001108,Amiodarone 10mg/5ml oral solution
11670611000001106,Amiodarone 10mg/5ml oral solution (Special Order)
11708911000001103,Amiodarone 10mg/5ml oral suspension
11670011000001104,Amiodarone 10mg/5ml oral suspension (Special Order)
11709011000001107,Amiodarone 125mg/5ml oral solution
11671711000001105,Amiodarone 125mg/5ml oral solution (Special Order)
11709111000001108,Amiodarone 125mg/5ml oral suspension
11671211000001103,Amiodarone 125mg/5ml oral suspension (Special Order)
34748611000001108,Amiodarone 150mg/3ml concentrate for solution for injection ampoules (Bowmed Ibisqus Ltd)
24120511000001102,Amiodarone 150mg/3ml concentrate for solution for injection ampoules (Hameln Pharmaceuticals Ltd)
14597111000001108,Amiodarone 150mg/3ml concentrate for solution for injection ampoules (Martindale Pharmaceuticals Ltd)
35900911000001106,Amiodarone 150mg/3ml solution for injection ampoules
15148611000001108,Amiodarone 150mg/3ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
11709211000001102,Amiodarone 150mg/5ml oral solution
11672711000001103,Amiodarone 150mg/5ml oral solution (Special Order)
11709311000001105,Amiodarone 150mg/5ml oral suspension
11672111000001104,Amiodarone 150mg/5ml oral suspension (Special Order)
11709411000001103,Amiodarone 155mg/5ml oral solution
