id,term
4890011000001108,Alka Rapid Crystals 500mg granules sachets (Bayer Plc)
4926011000001107,Alka-Seltzer effervescent tablets lemon (Bayer Plc)
4925711000001101,Alka-Seltzer effervescent tablets original (Bayer Plc)
8043011000001105,Alka-Seltzer XS effervescent tablets (Bayer Plc)
4914411000001103,Anadin Extra soluble tablets (Pfizer Consumer Healthcare Ltd)
4915111000001107,Anadin Extra tablets (Pfizer Consumer Healthcare Ltd)
8984711000001107,Anadin Original tablets (Pfizer Consumer Healthcare Ltd)
800511000001106,Angettes 75 tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
3292511000001108,Asasantin Retard capsules (Boehringer Ingelheim Ltd)
5614311000001104,Asasantin Retard capsules (Dowelhurst Ltd)
18876011000001101,Asasantin Retard capsules (Mawdsley-Brooks & Company Ltd)
5336211000001102,Asasantin Retard capsules (Waymade Healthcare Plc)
8085211000001108,Askit oral powder sachets (Bayer Plc)
3690911000001103,Aspav dispersible tablets (Actavis UK Ltd)
11257911000001104,Aspegic Injectable 1g powder and solvent for solution for injection vials (Imported (France))
11257311000001100,Aspegic Injectable 500mg powder and solvent for solution for injection vials (Imported (France))
398989001,Aspirin + butalbital + caffeine
412568000,Aspirin + caffeine + paracetamol
398649009,Aspirin + carisoprodol
412095002,Aspirin + cinnamedrine + caffeine
398683002,Aspirin + meprobamate
400489006,Aspirin + methocarbamol
21109511000001106,Aspirin 100mg capsules
21109811000001109,Aspirin 100mg capsules (Special Order)
12012111000001104,Aspirin 100mg/5ml oral solution
11968411000001102,Aspirin 100mg/5ml oral solution (Special Order)
11712811000001108,Aspirin 100mg/5ml oral suspension
11692711000001109,Aspirin 100mg/5ml oral suspension (Special Order)
370176001,Aspirin 120mg suppository
35903011000001102,Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets
322233001,Aspirin 150mg suppositories
716511000001107,Aspirin 150mg suppositories (A A H Pharmaceuticals Ltd)
576411000001100,Aspirin 150mg suppositories (Alliance Healthcare (Distribution) Ltd)
22833911000001102,Aspirin 150mg suppositories (Colorama Pharmaceuticals Ltd)
686211000001101,Aspirin 150mg suppositories (Martindale Pharmaceuticals Ltd)
12012211000001105,Aspirin 15mg/5ml oral solution
11972611000001106,Aspirin 15mg/5ml oral solution (Special Order)
12012311000001102,Aspirin 15mg/5ml oral suspension
11971811000001101,Aspirin 15mg/5ml oral suspension (Special Order)
370168003,Aspirin 165mg e/c tablet
11257611000001105,Aspirin 1g powder and solvent for solution for injection vials
370177005,Aspirin 200mg suppository
8280211000001109,Aspirin 225mg/5ml oral solution
8248411000001101,Aspirin 225mg/5ml oral solution (Special Order)
8280311000001101,Aspirin 225mg/5ml oral suspension
8249211000001105,Aspirin 225mg/5ml oral suspension (Special Order)
766070006,Aspirin 227.5mg prolonged-release oral gum
766001006,Aspirin 25 mg and dipyridamole 200 mg prolonged-release oral capsule
413586006,Aspirin 250mg/paracetamol 250mg/caffeine 65mg tablet
30798211000001103,Aspirin 25mg capsules
30798211000001103,Aspirin 25mg capsules
30791611000001109,Aspirin 25mg capsules (Special Order)
12012511000001108,Aspirin 25mg/5ml oral solution
11977111000001101,Aspirin 25mg/5ml oral solution (Special Order)
12012611000001107,Aspirin 25mg/5ml oral suspension
11973211000001103,Aspirin 25mg/5ml oral suspension (Special Order)
404785009,Aspirin 300 mg and codeine 8 mg oral tablet
4930811000001101,Aspirin 300mg / Paracetamol 200mg dispersible tablets sugar free
17958611000001108,Aspirin 300mg caplets (The Boots Company Plc)
27167811000001103,Aspirin 300mg caplets (Wockhardt UK Ltd)
329526003,Aspirin 300mg dispersible tablets
785211000001100,Aspirin 300mg dispersible tablets (A A H Pharmaceuticals Ltd)
442511000001105,Aspirin 300mg dispersible tablets (Actavis UK Ltd)
894511000001100,Aspirin 300mg dispersible tablets (Alliance Healthcare (Distribution) Ltd)
9789911000001102,Aspirin 300mg dispersible tablets (Almus Pharmaceuticals Ltd)
420711000001101,Aspirin 300mg dispersible tablets (Aspar Pharmaceuticals Ltd)
13585411000001105,Aspirin 300mg dispersible tablets (DE Pharmaceuticals)
714511000001101,Aspirin 300mg dispersible tablets (Kent Pharmaceuticals Ltd)
9827511000001106,Aspirin 300mg dispersible tablets (Lloyds Pharmacy Ltd)
29996411000001109,Aspirin 300mg dispersible tablets (Mawdsley-Brooks & Company Ltd)
13662111000001104,Aspirin 300mg dispersible tablets (Numark Ltd)
15069811000001103,Aspirin 300mg dispersible tablets (Sigma Pharmaceuticals Plc)
21777011000001106,Aspirin 300mg dispersible tablets (Waymade Healthcare Plc)
4660611000001105,Aspirin 300mg effervescent tablets sugar free
322225002,Aspirin 300mg gastro-resistant tablets
211011000001104,Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
10287611000001106,Aspirin 300mg gastro-resistant tablets (Advanz Pharma)
722911000001109,Aspirin 300mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
10450411000001103,Aspirin 300mg gastro-resistant tablets (Arrow Generics Ltd)
22611011000001100,Aspirin 300mg gastro-resistant tablets (DE Pharmaceuticals)
13115311000001108,Aspirin 300mg gastro-resistant tablets (Dowelhurst Ltd)
879911000001103,Aspirin 300mg gastro-resistant tablets (Greenfield Pharmaceuticals Ltd)
841411000001106,Aspirin 300mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
13435711000001102,Aspirin 300mg gastro-resistant tablets (Mylan)
17786711000001101,Aspirin 300mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)
575111000001104,Aspirin 300mg gastro-resistant tablets (Sandoz Ltd)
29771011000001108,Aspirin 300mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)
10821811000001100,Aspirin 300mg gastro-resistant tablets (Teva UK Ltd)
65611000001104,Aspirin 300mg gastro-resistant tablets (The Boots Company Plc)
21778211000001102,Aspirin 300mg gastro-resistant tablets (Waymade Healthcare Plc)
4558011000001103,Aspirin 300mg modified-release tablets
4930911000001106,Aspirin 300mg orodispersible tablets sugar free
322231004,Aspirin 300mg soluble tablet
322232006,Aspirin 300mg suppositories
307411000001109,Aspirin 300mg suppositories (A A H Pharmaceuticals Ltd)
679211000001103,Aspirin 300mg suppositories (Alliance Healthcare (Distribution) Ltd)
22834111000001103,Aspirin 300mg suppositories (Colorama Pharmaceuticals Ltd)
893011000001106,Aspirin 300mg suppositories (Martindale Pharmaceuticals Ltd)
443311000001109,Aspirin 300mg suppositories (The Boots Company Plc)
329525004,Aspirin 300mg tablets
