id,term
768813005,Amiloride and hydrochlorothiazide and timolol in oral dosage form
768778001,Amiloride and hydrochlorothiazide and timolol product
37150611000001105,Angilol 10mg tablets (Genesis Pharmaceuticals Ltd)
37430011000001100,Azarga 10mg/ml / 5mg/ml eye drops (CST Pharma Ltd)
18546011000001104,Azarga 10mg/ml / 5mg/ml eye drops (DE Pharmaceuticals)
37621011000001105,Azarga 10mg/ml / 5mg/ml eye drops (Ethigen Ltd)
18051511000001103,Azarga 10mg/ml / 5mg/ml eye drops (Lexon (UK) Ltd)
17494711000001104,Azarga 10mg/ml / 5mg/ml eye drops (Mawdsley-Brooks & Company Ltd)
15454211000001104,Azarga 10mg/ml / 5mg/ml eye drops (Novartis Pharmaceuticals UK Ltd)
37979611000001100,Azarga 10mg/ml / 5mg/ml eye drops (Pharmaram Ltd)
16431811000001104,Azarga 10mg/ml / 5mg/ml eye drops (Waymade Healthcare Plc)
36106311000001108,Bedranol 10mg tablets (Ennogen Pharma Ltd)
36107111000001109,Bedranol 160mg tablets (Ennogen Pharma Ltd)
36106511000001102,Bedranol 40mg tablets (Ennogen Pharma Ltd)
36106711000001107,Bedranol 80mg tablets (Ennogen Pharma Ltd)
18695311000001109,Bedranol SR 160mg capsules (Almus Pharmaceuticals Ltd)
549611000001106,Bedranol SR 160mg capsules (Sandoz Ltd)
18694811000001101,Bedranol SR 80mg capsules (Almus Pharmaceuticals Ltd)
573711000001104,Bedranol SR 80mg capsules (Sandoz Ltd)
765959007,Bendroflumethiazide 5 mg and propranolol hydrochloride 160 mg prolonged-release oral capsule
713226004,Bendroflumethiazide and nadolol in oral dosage form
768776002,Bendroflumethiazide and timolol in oral dosage form
447111000001104,Beta-Cardone 200mg tablets (Advanz Pharma)
900511000001103,Beta-Cardone 40mg tablets (Focus Pharmaceuticals Ltd)
104011000001101,Beta-Cardone 80mg tablets (Focus Pharmaceuticals Ltd)
18069011000001103,Beta-Prograne 160mg modified-release capsules (Actavis UK Ltd)
15610411000001104,Beta-Prograne 160mg modified-release capsules (Teva UK Ltd)
510611000001108,Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd)
